W0417 14:24:13.507000 1272107 torch/distributed/run.py:852] 
W0417 14:24:13.507000 1272107 torch/distributed/run.py:852] *****************************************
W0417 14:24:13.507000 1272107 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0417 14:24:13.507000 1272107 torch/distributed/run.py:852] *****************************************
Using Flash Attention 3 (Hopper GPU detected)
wandb: Tracking run with wandb version 0.25.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /mnt/vast/joey/slowrun/wandb/offline-run-20260417_142436-yrj2vzdz
--- Hyperparameters ---
  n_layer=16, n_embd=1024, n_head=8, head_dim=128
  seq_len=2048, window_pattern=SSSL
  total_batch_size=524288, device_batch_size=32
  block_loop_count=1
  matrix_lr=0.032, scalar_lr=0.2, embedding_lr=0.12, unembedding_lr=0.0008
  weight_decay=0.8, adam_betas=(0.8, 0.95)
  warmup_ratio=0.0, warmdown_ratio=0.6, final_lr_frac=0.0
  num_epochs=16, patience=-1
  dropout=0.1
-----------------------
Vocab size: 50,257
Padding vocab_size from 50257 to 50304
Parameters: 316,935,720 (transformer: 205,524,480, value_embeds: 8,388,608, lm_head: 51,511,296, other: 51,511,336)
FLOPs per token: 1.756259e+09
Batch size: 524,288 tokens, grad accum: 1 steps
Training for 16 epoch(s) (~3040 steps estimated)
Eval set: 10,000,000 tokens
Step 00000 | Val BPB: 3.517133 | Val Loss: 10.826475
step 00001 (0.03%) | loss: 10.826533 | dt: 15139.69ms | tok/sec: 34,630 | bf16_mfu: 0.77%
step 00002 (0.07%) | loss: 10.747878 | dt: 498.64ms | tok/sec: 1,051,433 | bf16_mfu: 23.34%
step 00003 (0.10%) | loss: 10.606686 | dt: 269.85ms | tok/sec: 1,942,915 | bf16_mfu: 43.13%
step 00004 (0.13%) | loss: 10.316282 | dt: 269.99ms | tok/sec: 1,941,901 | bf16_mfu: 43.11% | eta: 13.7m
step 00005 (0.16%) | loss: 9.997236 | dt: 290.69ms | tok/sec: 1,803,609 | bf16_mfu: 40.04% | eta: 14.2m
step 00006 (0.20%) | loss: 9.694621 | dt: 279.38ms | tok/sec: 1,876,581 | bf16_mfu: 41.66% | eta: 14.2m
step 00007 (0.23%) | loss: 9.365970 | dt: 272.64ms | tok/sec: 1,923,001 | bf16_mfu: 42.69% | eta: 14.1m
step 00008 (0.26%) | loss: 9.074472 | dt: 276.72ms | tok/sec: 1,894,672 | bf16_mfu: 42.06% | eta: 14.0m
step 00009 (0.30%) | loss: 8.792419 | dt: 285.41ms | tok/sec: 1,836,964 | bf16_mfu: 40.78% | eta: 14.1m
step 00010 (0.33%) | loss: 8.545258 | dt: 276.62ms | tok/sec: 1,895,369 | bf16_mfu: 42.07% | eta: 14.1m
step 00011 (0.36%) | loss: 8.321449 | dt: 276.98ms | tok/sec: 1,892,858 | bf16_mfu: 42.02% | eta: 14.1m
step 00012 (0.39%) | loss: 8.106971 | dt: 280.42ms | tok/sec: 1,869,623 | bf16_mfu: 41.50% | eta: 14.1m
step 00013 (0.43%) | loss: 7.918054 | dt: 283.84ms | tok/sec: 1,847,116 | bf16_mfu: 41.00% | eta: 14.1m
step 00014 (0.46%) | loss: 7.746468 | dt: 274.73ms | tok/sec: 1,908,354 | bf16_mfu: 42.36% | eta: 14.1m
step 00015 (0.49%) | loss: 7.603903 | dt: 276.78ms | tok/sec: 1,894,271 | bf16_mfu: 42.05% | eta: 14.1m
step 00016 (0.53%) | loss: 7.477374 | dt: 281.68ms | tok/sec: 1,861,306 | bf16_mfu: 41.32% | eta: 14.1m
step 00017 (0.56%) | loss: 7.372148 | dt: 281.52ms | tok/sec: 1,862,368 | bf16_mfu: 41.34% | eta: 14.1m
step 00018 (0.59%) | loss: 7.260872 | dt: 277.78ms | tok/sec: 1,887,401 | bf16_mfu: 41.90% | eta: 14.1m
step 00019 (0.62%) | loss: 7.176544 | dt: 280.22ms | tok/sec: 1,871,001 | bf16_mfu: 41.53% | eta: 14.1m
step 00020 (0.66%) | loss: 7.101139 | dt: 282.86ms | tok/sec: 1,853,536 | bf16_mfu: 41.14% | eta: 14.1m
step 00021 (0.69%) | loss: 7.019921 | dt: 280.36ms | tok/sec: 1,870,048 | bf16_mfu: 41.51% | eta: 14.1m
step 00022 (0.72%) | loss: 6.943799 | dt: 277.44ms | tok/sec: 1,889,768 | bf16_mfu: 41.95% | eta: 14.0m
step 00023 (0.76%) | loss: 6.884046 | dt: 279.84ms | tok/sec: 1,873,495 | bf16_mfu: 41.59% | eta: 14.0m
step 00024 (0.79%) | loss: 6.820122 | dt: 278.90ms | tok/sec: 1,879,839 | bf16_mfu: 41.73% | eta: 14.0m
step 00025 (0.82%) | loss: 6.771867 | dt: 279.20ms | tok/sec: 1,877,817 | bf16_mfu: 41.68% | eta: 14.0m
step 00026 (0.86%) | loss: 6.732014 | dt: 278.38ms | tok/sec: 1,883,341 | bf16_mfu: 41.81% | eta: 14.0m
step 00027 (0.89%) | loss: 6.683212 | dt: 279.90ms | tok/sec: 1,873,112 | bf16_mfu: 41.58% | eta: 14.0m
step 00028 (0.92%) | loss: 6.642096 | dt: 279.47ms | tok/sec: 1,876,032 | bf16_mfu: 41.64% | eta: 14.0m
step 00029 (0.95%) | loss: 6.607259 | dt: 279.25ms | tok/sec: 1,877,488 | bf16_mfu: 41.68% | eta: 14.0m
step 00030 (0.99%) | loss: 6.566407 | dt: 279.39ms | tok/sec: 1,876,559 | bf16_mfu: 41.65% | eta: 14.0m
step 00031 (1.02%) | loss: 6.530919 | dt: 280.93ms | tok/sec: 1,866,253 | bf16_mfu: 41.43% | eta: 14.0m
step 00032 (1.05%) | loss: 6.496367 | dt: 279.24ms | tok/sec: 1,877,546 | bf16_mfu: 41.68% | eta: 14.0m
step 00033 (1.09%) | loss: 6.460972 | dt: 278.85ms | tok/sec: 1,880,178 | bf16_mfu: 41.74% | eta: 14.0m
step 00034 (1.12%) | loss: 6.426081 | dt: 279.80ms | tok/sec: 1,873,770 | bf16_mfu: 41.59% | eta: 14.0m
step 00035 (1.15%) | loss: 6.393463 | dt: 280.29ms | tok/sec: 1,870,522 | bf16_mfu: 41.52% | eta: 14.0m
step 00036 (1.18%) | loss: 6.360833 | dt: 279.73ms | tok/sec: 1,874,292 | bf16_mfu: 41.60% | eta: 14.0m
step 00037 (1.22%) | loss: 6.335041 | dt: 279.83ms | tok/sec: 1,873,610 | bf16_mfu: 41.59% | eta: 14.0m
step 00038 (1.25%) | loss: 6.300869 | dt: 278.79ms | tok/sec: 1,880,583 | bf16_mfu: 41.74% | eta: 14.0m
step 00039 (1.28%) | loss: 6.265578 | dt: 281.65ms | tok/sec: 1,861,507 | bf16_mfu: 41.32% | eta: 14.0m
step 00040 (1.32%) | loss: 6.246292 | dt: 279.71ms | tok/sec: 1,874,402 | bf16_mfu: 41.61% | eta: 14.0m
step 00041 (1.35%) | loss: 6.219422 | dt: 284.09ms | tok/sec: 1,845,490 | bf16_mfu: 40.97% | eta: 14.0m
step 00042 (1.38%) | loss: 6.193232 | dt: 281.08ms | tok/sec: 1,865,237 | bf16_mfu: 41.40% | eta: 14.0m
step 00043 (1.41%) | loss: 6.169077 | dt: 281.56ms | tok/sec: 1,862,059 | bf16_mfu: 41.33% | eta: 14.0m
step 00044 (1.45%) | loss: 6.140118 | dt: 281.78ms | tok/sec: 1,860,628 | bf16_mfu: 41.30% | eta: 14.0m
step 00045 (1.48%) | loss: 6.120493 | dt: 279.66ms | tok/sec: 1,874,722 | bf16_mfu: 41.61% | eta: 14.0m
step 00046 (1.51%) | loss: 6.106398 | dt: 279.59ms | tok/sec: 1,875,202 | bf16_mfu: 41.62% | eta: 14.0m
step 00047 (1.55%) | loss: 6.091255 | dt: 282.50ms | tok/sec: 1,855,858 | bf16_mfu: 41.20% | eta: 14.0m
step 00048 (1.58%) | loss: 6.076884 | dt: 280.55ms | tok/sec: 1,868,759 | bf16_mfu: 41.48% | eta: 14.0m
step 00049 (1.61%) | loss: 6.050183 | dt: 281.14ms | tok/sec: 1,864,859 | bf16_mfu: 41.40% | eta: 13.9m
step 00050 (1.64%) | loss: 6.025671 | dt: 280.42ms | tok/sec: 1,869,623 | bf16_mfu: 41.50% | eta: 13.9m
step 00051 (1.68%) | loss: 6.004865 | dt: 282.83ms | tok/sec: 1,853,735 | bf16_mfu: 41.15% | eta: 13.9m
step 00052 (1.71%) | loss: 5.984284 | dt: 279.83ms | tok/sec: 1,873,585 | bf16_mfu: 41.59% | eta: 13.9m
step 00053 (1.74%) | loss: 5.967686 | dt: 280.73ms | tok/sec: 1,867,570 | bf16_mfu: 41.46% | eta: 13.9m
step 00054 (1.78%) | loss: 5.950659 | dt: 283.73ms | tok/sec: 1,847,841 | bf16_mfu: 41.02% | eta: 13.9m
step 00055 (1.81%) | loss: 5.918747 | dt: 281.96ms | tok/sec: 1,859,442 | bf16_mfu: 41.27% | eta: 13.9m
step 00056 (1.84%) | loss: 5.887674 | dt: 280.35ms | tok/sec: 1,870,110 | bf16_mfu: 41.51% | eta: 13.9m
step 00057 (1.88%) | loss: 5.865788 | dt: 284.38ms | tok/sec: 1,843,590 | bf16_mfu: 40.92% | eta: 13.9m
step 00058 (1.91%) | loss: 5.841802 | dt: 279.70ms | tok/sec: 1,874,482 | bf16_mfu: 41.61% | eta: 13.9m
step 00059 (1.94%) | loss: 5.816656 | dt: 280.22ms | tok/sec: 1,870,978 | bf16_mfu: 41.53% | eta: 13.9m
step 00060 (1.97%) | loss: 5.788670 | dt: 279.78ms | tok/sec: 1,873,952 | bf16_mfu: 41.60% | eta: 13.9m
step 00061 (2.01%) | loss: 5.763818 | dt: 284.16ms | tok/sec: 1,845,030 | bf16_mfu: 40.95% | eta: 13.9m
step 00062 (2.04%) | loss: 5.742732 | dt: 280.62ms | tok/sec: 1,868,352 | bf16_mfu: 41.47% | eta: 13.9m
step 00063 (2.07%) | loss: 5.726216 | dt: 280.55ms | tok/sec: 1,868,818 | bf16_mfu: 41.48% | eta: 13.9m
step 00064 (2.11%) | loss: 5.706365 | dt: 283.63ms | tok/sec: 1,848,465 | bf16_mfu: 41.03% | eta: 13.9m
step 00065 (2.14%) | loss: 5.682561 | dt: 282.21ms | tok/sec: 1,857,802 | bf16_mfu: 41.24% | eta: 13.9m
step 00066 (2.17%) | loss: 5.660234 | dt: 281.27ms | tok/sec: 1,863,988 | bf16_mfu: 41.38% | eta: 13.9m
step 00067 (2.20%) | loss: 5.653155 | dt: 278.93ms | tok/sec: 1,879,656 | bf16_mfu: 41.72% | eta: 13.9m
step 00068 (2.24%) | loss: 5.624653 | dt: 282.80ms | tok/sec: 1,853,943 | bf16_mfu: 41.15% | eta: 13.9m
step 00069 (2.27%) | loss: 5.597291 | dt: 282.02ms | tok/sec: 1,859,074 | bf16_mfu: 41.27% | eta: 13.9m
step 00070 (2.30%) | loss: 5.578002 | dt: 279.88ms | tok/sec: 1,873,246 | bf16_mfu: 41.58% | eta: 13.9m
step 00071 (2.34%) | loss: 5.556329 | dt: 283.36ms | tok/sec: 1,850,274 | bf16_mfu: 41.07% | eta: 13.9m
step 00072 (2.37%) | loss: 5.534539 | dt: 284.17ms | tok/sec: 1,845,007 | bf16_mfu: 40.95% | eta: 13.9m
step 00073 (2.40%) | loss: 5.514674 | dt: 280.62ms | tok/sec: 1,868,295 | bf16_mfu: 41.47% | eta: 13.9m
step 00074 (2.43%) | loss: 5.491896 | dt: 280.14ms | tok/sec: 1,871,539 | bf16_mfu: 41.54% | eta: 13.9m
step 00075 (2.47%) | loss: 5.473386 | dt: 281.66ms | tok/sec: 1,861,438 | bf16_mfu: 41.32% | eta: 13.9m
step 00076 (2.50%) | loss: 5.454907 | dt: 283.56ms | tok/sec: 1,848,944 | bf16_mfu: 41.04% | eta: 13.9m
step 00077 (2.53%) | loss: 5.434236 | dt: 281.57ms | tok/sec: 1,861,994 | bf16_mfu: 41.33% | eta: 13.9m
step 00078 (2.57%) | loss: 5.422435 | dt: 282.79ms | tok/sec: 1,854,001 | bf16_mfu: 41.15% | eta: 13.8m
step 00079 (2.60%) | loss: 5.416339 | dt: 282.17ms | tok/sec: 1,858,053 | bf16_mfu: 41.24% | eta: 13.8m
step 00080 (2.63%) | loss: 5.392564 | dt: 282.33ms | tok/sec: 1,857,008 | bf16_mfu: 41.22% | eta: 13.8m
step 00081 (2.66%) | loss: 5.377936 | dt: 282.36ms | tok/sec: 1,856,798 | bf16_mfu: 41.22% | eta: 13.8m
step 00082 (2.70%) | loss: 5.361321 | dt: 279.75ms | tok/sec: 1,874,116 | bf16_mfu: 41.60% | eta: 13.8m
step 00083 (2.73%) | loss: 5.340290 | dt: 282.85ms | tok/sec: 1,853,580 | bf16_mfu: 41.14% | eta: 13.8m
step 00084 (2.76%) | loss: 5.329725 | dt: 282.64ms | tok/sec: 1,854,991 | bf16_mfu: 41.18% | eta: 13.8m
step 00085 (2.80%) | loss: 5.320170 | dt: 281.17ms | tok/sec: 1,864,636 | bf16_mfu: 41.39% | eta: 13.8m
step 00086 (2.83%) | loss: 5.312534 | dt: 288.12ms | tok/sec: 1,819,699 | bf16_mfu: 40.39% | eta: 13.8m
step 00087 (2.86%) | loss: 5.296940 | dt: 280.19ms | tok/sec: 1,871,187 | bf16_mfu: 41.54% | eta: 13.8m
step 00088 (2.89%) | loss: 5.284037 | dt: 281.96ms | tok/sec: 1,859,437 | bf16_mfu: 41.27% | eta: 13.8m
step 00089 (2.93%) | loss: 5.265546 | dt: 283.26ms | tok/sec: 1,850,886 | bf16_mfu: 41.08% | eta: 13.8m
step 00090 (2.96%) | loss: 5.250797 | dt: 283.27ms | tok/sec: 1,850,836 | bf16_mfu: 41.08% | eta: 13.8m
step 00091 (2.99%) | loss: 5.228614 | dt: 283.79ms | tok/sec: 1,847,434 | bf16_mfu: 41.01% | eta: 13.8m
step 00092 (3.03%) | loss: 5.206981 | dt: 282.74ms | tok/sec: 1,854,279 | bf16_mfu: 41.16% | eta: 13.8m
step 00093 (3.06%) | loss: 5.187661 | dt: 280.74ms | tok/sec: 1,867,497 | bf16_mfu: 41.45% | eta: 13.8m
step 00094 (3.09%) | loss: 5.173005 | dt: 281.88ms | tok/sec: 1,859,971 | bf16_mfu: 41.29% | eta: 13.8m
step 00095 (3.12%) | loss: 5.155660 | dt: 283.27ms | tok/sec: 1,850,827 | bf16_mfu: 41.08% | eta: 13.8m
step 00096 (3.16%) | loss: 5.136272 | dt: 282.80ms | tok/sec: 1,853,932 | bf16_mfu: 41.15% | eta: 13.8m
step 00097 (3.19%) | loss: 5.123335 | dt: 281.27ms | tok/sec: 1,864,033 | bf16_mfu: 41.38% | eta: 13.8m
step 00098 (3.22%) | loss: 5.106437 | dt: 282.06ms | tok/sec: 1,858,804 | bf16_mfu: 41.26% | eta: 13.8m
step 00099 (3.26%) | loss: 5.079526 | dt: 282.60ms | tok/sec: 1,855,253 | bf16_mfu: 41.18% | eta: 13.8m
step 00100 (3.29%) | loss: 5.076489 | dt: 281.63ms | tok/sec: 1,861,605 | bf16_mfu: 41.32% | eta: 13.8m
step 00101 (3.32%) | loss: 5.070189 | dt: 284.27ms | tok/sec: 1,844,313 | bf16_mfu: 40.94% | eta: 13.8m
step 00102 (3.36%) | loss: 5.064556 | dt: 282.05ms | tok/sec: 1,858,857 | bf16_mfu: 41.26% | eta: 13.8m
step 00103 (3.39%) | loss: 5.049769 | dt: 281.68ms | tok/sec: 1,861,315 | bf16_mfu: 41.32% | eta: 13.8m
step 00104 (3.42%) | loss: 5.038835 | dt: 281.49ms | tok/sec: 1,862,573 | bf16_mfu: 41.34% | eta: 13.8m
step 00105 (3.45%) | loss: 5.027128 | dt: 282.60ms | tok/sec: 1,855,246 | bf16_mfu: 41.18% | eta: 13.7m
step 00106 (3.49%) | loss: 5.007289 | dt: 283.55ms | tok/sec: 1,849,039 | bf16_mfu: 41.04% | eta: 13.7m
step 00107 (3.52%) | loss: 4.997911 | dt: 281.20ms | tok/sec: 1,864,498 | bf16_mfu: 41.39% | eta: 13.7m
step 00108 (3.55%) | loss: 4.991167 | dt: 282.69ms | tok/sec: 1,854,609 | bf16_mfu: 41.17% | eta: 13.7m
step 00109 (3.59%) | loss: 4.981756 | dt: 282.52ms | tok/sec: 1,855,726 | bf16_mfu: 41.19% | eta: 13.7m
step 00110 (3.62%) | loss: 4.969956 | dt: 283.87ms | tok/sec: 1,846,897 | bf16_mfu: 41.00% | eta: 13.7m
step 00111 (3.65%) | loss: 4.964257 | dt: 284.31ms | tok/sec: 1,844,094 | bf16_mfu: 40.93% | eta: 13.7m
step 00112 (3.68%) | loss: 4.949290 | dt: 280.48ms | tok/sec: 1,869,248 | bf16_mfu: 41.49% | eta: 13.7m
step 00113 (3.72%) | loss: 4.949438 | dt: 283.14ms | tok/sec: 1,851,679 | bf16_mfu: 41.10% | eta: 13.7m
step 00114 (3.75%) | loss: 4.945056 | dt: 282.15ms | tok/sec: 1,858,191 | bf16_mfu: 41.25% | eta: 13.7m
step 00115 (3.78%) | loss: 4.946302 | dt: 283.93ms | tok/sec: 1,846,568 | bf16_mfu: 40.99% | eta: 13.7m
step 00116 (3.82%) | loss: 4.935323 | dt: 281.06ms | tok/sec: 1,865,362 | bf16_mfu: 41.41% | eta: 13.7m
step 00117 (3.85%) | loss: 4.924713 | dt: 284.89ms | tok/sec: 1,840,346 | bf16_mfu: 40.85% | eta: 13.7m
step 00118 (3.88%) | loss: 4.911869 | dt: 280.97ms | tok/sec: 1,865,963 | bf16_mfu: 41.42% | eta: 13.7m
step 00119 (3.91%) | loss: 4.903539 | dt: 282.17ms | tok/sec: 1,858,036 | bf16_mfu: 41.24% | eta: 13.7m
step 00120 (3.95%) | loss: 4.896098 | dt: 281.85ms | tok/sec: 1,860,184 | bf16_mfu: 41.29% | eta: 13.7m
step 00121 (3.98%) | loss: 4.885204 | dt: 287.15ms | tok/sec: 1,825,832 | bf16_mfu: 40.53% | eta: 13.7m
step 00122 (4.01%) | loss: 4.884125 | dt: 281.00ms | tok/sec: 1,865,814 | bf16_mfu: 41.42% | eta: 13.7m
step 00123 (4.05%) | loss: 4.876757 | dt: 283.85ms | tok/sec: 1,847,030 | bf16_mfu: 41.00% | eta: 13.7m
step 00124 (4.08%) | loss: 4.871590 | dt: 282.84ms | tok/sec: 1,853,633 | bf16_mfu: 41.15% | eta: 13.7m
step 00125 (4.11%) | loss: 4.862264 | dt: 284.09ms | tok/sec: 1,845,496 | bf16_mfu: 40.97% | eta: 13.7m
step 00126 (4.14%) | loss: 4.849117 | dt: 282.06ms | tok/sec: 1,858,787 | bf16_mfu: 41.26% | eta: 13.7m
step 00127 (4.18%) | loss: 4.842889 | dt: 282.20ms | tok/sec: 1,857,885 | bf16_mfu: 41.24% | eta: 13.7m
step 00128 (4.21%) | loss: 4.837381 | dt: 283.28ms | tok/sec: 1,850,750 | bf16_mfu: 41.08% | eta: 13.7m
step 00129 (4.24%) | loss: 4.832913 | dt: 282.61ms | tok/sec: 1,855,186 | bf16_mfu: 41.18% | eta: 13.7m
step 00130 (4.28%) | loss: 4.815482 | dt: 280.72ms | tok/sec: 1,867,668 | bf16_mfu: 41.46% | eta: 13.6m
step 00131 (4.31%) | loss: 4.805701 | dt: 284.31ms | tok/sec: 1,844,087 | bf16_mfu: 40.93% | eta: 13.6m
step 00132 (4.34%) | loss: 4.795424 | dt: 283.86ms | tok/sec: 1,847,015 | bf16_mfu: 41.00% | eta: 13.6m
step 00133 (4.38%) | loss: 4.783949 | dt: 283.01ms | tok/sec: 1,852,520 | bf16_mfu: 41.12% | eta: 13.6m
step 00134 (4.41%) | loss: 4.773890 | dt: 282.96ms | tok/sec: 1,852,863 | bf16_mfu: 41.13% | eta: 13.6m
step 00135 (4.44%) | loss: 4.775150 | dt: 282.70ms | tok/sec: 1,854,590 | bf16_mfu: 41.17% | eta: 13.6m
step 00136 (4.47%) | loss: 4.774208 | dt: 284.91ms | tok/sec: 1,840,217 | bf16_mfu: 40.85% | eta: 13.6m
step 00137 (4.51%) | loss: 4.766744 | dt: 281.62ms | tok/sec: 1,861,673 | bf16_mfu: 41.32% | eta: 13.6m
step 00138 (4.54%) | loss: 4.771566 | dt: 284.13ms | tok/sec: 1,845,240 | bf16_mfu: 40.96% | eta: 13.6m
step 00139 (4.57%) | loss: 4.778879 | dt: 280.83ms | tok/sec: 1,866,941 | bf16_mfu: 41.44% | eta: 13.6m
step 00140 (4.61%) | loss: 4.773638 | dt: 280.71ms | tok/sec: 1,867,703 | bf16_mfu: 41.46% | eta: 13.6m
step 00141 (4.64%) | loss: 4.763967 | dt: 283.93ms | tok/sec: 1,846,531 | bf16_mfu: 40.99% | eta: 13.6m
step 00142 (4.67%) | loss: 4.761079 | dt: 282.60ms | tok/sec: 1,855,246 | bf16_mfu: 41.18% | eta: 13.6m
