W0417 14:51:52.590000 1318000 torch/distributed/run.py:852] 
W0417 14:51:52.590000 1318000 torch/distributed/run.py:852] *****************************************
W0417 14:51:52.590000 1318000 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0417 14:51:52.590000 1318000 torch/distributed/run.py:852] *****************************************
Using Flash Attention 3 (Hopper GPU detected)
wandb: Tracking run with wandb version 0.25.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /mnt/vast/joey/slowrun/wandb/offline-run-20260417_145222-3ir5uxqg
--- Hyperparameters ---
  n_layer=16, n_embd=1024, n_head=8, head_dim=128
  seq_len=2048, window_pattern=SSSL
  total_batch_size=524288, device_batch_size=16
  block_loop_count=3
  matrix_lr=0.032, scalar_lr=0.2, embedding_lr=0.12, unembedding_lr=0.0008
  weight_decay=0.8, adam_betas=(0.8, 0.95)
  warmup_ratio=0.0, warmdown_ratio=0.6, final_lr_frac=0.0
  num_epochs=16, patience=-1
  dropout=0.1
-----------------------
Vocab size: 50,257
Padding vocab_size from 50257 to 50304
Parameters: 316,935,720 (transformer: 205,524,480, value_embeds: 8,388,608, lm_head: 51,511,296, other: 51,511,336)
FLOPs per token: 1.756259e+09
Batch size: 524,288 tokens, grad accum: 2 steps
Training for 16 epoch(s) (~3048 steps estimated)
Eval set: 10,000,000 tokens
Step 00000 | Val BPB: 3.517133 | Val Loss: 10.826475
step 00001 (0.03%) | loss: 10.826538 | dt: 33049.62ms | tok/sec: 15,863 | bf16_mfu: 0.35%
step 00002 (0.07%) | loss: 10.747199 | dt: 971.88ms | tok/sec: 539,459 | bf16_mfu: 11.97%
step 00003 (0.10%) | loss: 10.594832 | dt: 1108.70ms | tok/sec: 472,885 | bf16_mfu: 10.50%
step 00004 (0.13%) | loss: 10.293728 | dt: 724.36ms | tok/sec: 723,791 | bf16_mfu: 16.07% | eta: 36.7m
step 00005 (0.16%) | loss: 9.977462 | dt: 671.82ms | tok/sec: 780,393 | bf16_mfu: 17.32% | eta: 35.4m
step 00006 (0.20%) | loss: 9.644884 | dt: 945.30ms | tok/sec: 554,628 | bf16_mfu: 12.31% | eta: 39.6m
step 00007 (0.23%) | loss: 9.326354 | dt: 861.93ms | tok/sec: 608,273 | bf16_mfu: 13.50% | eta: 40.6m
step 00008 (0.26%) | loss: 9.038535 | dt: 1078.05ms | tok/sec: 486,327 | bf16_mfu: 10.80% | eta: 43.4m
step 00009 (0.30%) | loss: 8.763038 | dt: 961.32ms | tok/sec: 545,385 | bf16_mfu: 12.11% | eta: 44.3m
step 00010 (0.33%) | loss: 8.517388 | dt: 1066.50ms | tok/sec: 491,595 | bf16_mfu: 10.91% | eta: 45.6m
step 00011 (0.36%) | loss: 8.295473 | dt: 771.80ms | tok/sec: 679,302 | bf16_mfu: 15.08% | eta: 44.8m
step 00012 (0.39%) | loss: 8.109798 | dt: 1020.52ms | tok/sec: 513,744 | bf16_mfu: 11.40% | eta: 45.5m
step 00013 (0.43%) | loss: 7.923903 | dt: 816.90ms | tok/sec: 641,801 | bf16_mfu: 14.25% | eta: 45.1m
step 00014 (0.46%) | loss: 7.751356 | dt: 880.47ms | tok/sec: 595,462 | bf16_mfu: 13.22% | eta: 45.0m
step 00015 (0.49%) | loss: 7.614380 | dt: 790.11ms | tok/sec: 663,562 | bf16_mfu: 14.73% | eta: 44.6m
step 00016 (0.52%) | loss: 7.487401 | dt: 815.80ms | tok/sec: 642,668 | bf16_mfu: 14.27% | eta: 44.3m
step 00017 (0.56%) | loss: 7.358074 | dt: 731.14ms | tok/sec: 717,086 | bf16_mfu: 15.92% | eta: 43.8m
step 00018 (0.59%) | loss: 7.243794 | dt: 727.17ms | tok/sec: 720,997 | bf16_mfu: 16.00% | eta: 43.3m
step 00019 (0.62%) | loss: 7.150140 | dt: 734.50ms | tok/sec: 713,804 | bf16_mfu: 15.84% | eta: 42.9m
step 00020 (0.66%) | loss: 7.069429 | dt: 676.38ms | tok/sec: 775,141 | bf16_mfu: 17.21% | eta: 42.4m
step 00021 (0.69%) | loss: 6.991025 | dt: 746.32ms | tok/sec: 702,501 | bf16_mfu: 15.59% | eta: 42.1m
step 00022 (0.72%) | loss: 6.931321 | dt: 744.43ms | tok/sec: 704,277 | bf16_mfu: 15.63% | eta: 41.8m
step 00023 (0.75%) | loss: 6.869323 | dt: 681.30ms | tok/sec: 769,543 | bf16_mfu: 17.08% | eta: 41.5m
step 00024 (0.79%) | loss: 6.805266 | dt: 750.13ms | tok/sec: 698,931 | bf16_mfu: 15.51% | eta: 41.3m
step 00025 (0.82%) | loss: 6.761302 | dt: 795.17ms | tok/sec: 659,338 | bf16_mfu: 14.64% | eta: 41.2m
step 00026 (0.85%) | loss: 6.696024 | dt: 680.03ms | tok/sec: 770,975 | bf16_mfu: 17.11% | eta: 40.9m
step 00027 (0.89%) | loss: 6.641437 | dt: 697.07ms | tok/sec: 752,129 | bf16_mfu: 16.70% | eta: 40.6m
step 00028 (0.92%) | loss: 6.603446 | dt: 687.07ms | tok/sec: 763,083 | bf16_mfu: 16.94% | eta: 40.4m
step 00029 (0.95%) | loss: 6.580537 | dt: 687.09ms | tok/sec: 763,055 | bf16_mfu: 16.94% | eta: 40.1m
step 00030 (0.98%) | loss: 6.541338 | dt: 690.76ms | tok/sec: 758,996 | bf16_mfu: 16.85% | eta: 39.9m
step 00031 (1.02%) | loss: 6.502832 | dt: 689.66ms | tok/sec: 760,215 | bf16_mfu: 16.87% | eta: 39.7m
step 00032 (1.05%) | loss: 6.461008 | dt: 686.25ms | tok/sec: 763,986 | bf16_mfu: 16.96% | eta: 39.5m
step 00033 (1.08%) | loss: 6.439828 | dt: 694.59ms | tok/sec: 754,817 | bf16_mfu: 16.75% | eta: 39.4m
step 00034 (1.12%) | loss: 6.410268 | dt: 807.07ms | tok/sec: 649,622 | bf16_mfu: 14.42% | eta: 39.4m
step 00035 (1.15%) | loss: 6.381057 | dt: 681.88ms | tok/sec: 768,887 | bf16_mfu: 17.07% | eta: 39.2m
step 00036 (1.18%) | loss: 6.334708 | dt: 695.09ms | tok/sec: 754,272 | bf16_mfu: 16.74% | eta: 39.1m
step 00037 (1.21%) | loss: 6.286460 | dt: 729.49ms | tok/sec: 718,701 | bf16_mfu: 15.95% | eta: 39.0m
step 00038 (1.25%) | loss: 6.251078 | dt: 680.32ms | tok/sec: 770,651 | bf16_mfu: 17.11% | eta: 38.8m
step 00039 (1.28%) | loss: 6.222939 | dt: 694.37ms | tok/sec: 755,058 | bf16_mfu: 16.76% | eta: 38.7m
step 00040 (1.31%) | loss: 6.194959 | dt: 691.63ms | tok/sec: 758,052 | bf16_mfu: 16.83% | eta: 38.6m
step 00041 (1.35%) | loss: 6.165632 | dt: 741.21ms | tok/sec: 707,343 | bf16_mfu: 15.70% | eta: 38.5m
step 00042 (1.38%) | loss: 6.142577 | dt: 789.42ms | tok/sec: 664,146 | bf16_mfu: 14.74% | eta: 38.6m
step 00043 (1.41%) | loss: 6.119160 | dt: 682.61ms | tok/sec: 768,060 | bf16_mfu: 17.05% | eta: 38.4m
step 00044 (1.44%) | loss: 6.090620 | dt: 694.20ms | tok/sec: 755,243 | bf16_mfu: 16.76% | eta: 38.3m
step 00045 (1.48%) | loss: 6.061187 | dt: 688.93ms | tok/sec: 761,016 | bf16_mfu: 16.89% | eta: 38.2m
step 00046 (1.51%) | loss: 6.041918 | dt: 687.50ms | tok/sec: 762,599 | bf16_mfu: 16.93% | eta: 38.1m
step 00047 (1.54%) | loss: 6.028984 | dt: 696.08ms | tok/sec: 753,197 | bf16_mfu: 16.72% | eta: 38.0m
step 00048 (1.57%) | loss: 6.012064 | dt: 690.16ms | tok/sec: 759,664 | bf16_mfu: 16.86% | eta: 37.9m
step 00049 (1.61%) | loss: 5.995522 | dt: 687.69ms | tok/sec: 762,386 | bf16_mfu: 16.92% | eta: 37.9m
step 00050 (1.64%) | loss: 5.972246 | dt: 695.10ms | tok/sec: 754,267 | bf16_mfu: 16.74% | eta: 37.8m
