W0417 14:46:07.264000 1311950 torch/distributed/run.py:852] 
W0417 14:46:07.264000 1311950 torch/distributed/run.py:852] *****************************************
W0417 14:46:07.264000 1311950 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0417 14:46:07.264000 1311950 torch/distributed/run.py:852] *****************************************
Using Flash Attention 3 (Hopper GPU detected)
wandb: Tracking run with wandb version 0.25.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /mnt/vast/joey/slowrun/wandb/offline-run-20260417_144622-4afody5m
--- Hyperparameters ---
  n_layer=16, n_embd=1024, n_head=8, head_dim=128
  seq_len=2048, window_pattern=SSSL
  total_batch_size=524288, device_batch_size=16
  block_loop_count=3
  matrix_lr=0.032, scalar_lr=0.2, embedding_lr=0.12, unembedding_lr=0.0008
  weight_decay=0.8, adam_betas=(0.8, 0.95)
  warmup_ratio=0.0, warmdown_ratio=0.6, final_lr_frac=0.0
  num_epochs=1, patience=-1
  dropout=0.1
-----------------------
Vocab size: 50,257
Padding vocab_size from 50257 to 50304
Parameters: 316,935,720 (transformer: 205,524,480, value_embeds: 8,388,608, lm_head: 51,511,296, other: 51,511,336)
FLOPs per token: 1.756259e+09
Batch size: 524,288 tokens, grad accum: 2 steps
Training for 1 epoch(s) (~190 steps estimated)
Eval set: 10,000,000 tokens
Step 00000 | Val BPB: 3.517133 | Val Loss: 10.826475
step 00001 (0.53%) | loss: 10.826538 | dt: 107628.62ms | tok/sec: 4,871 | bf16_mfu: 0.11%
step 00002 (1.05%) | loss: 10.747198 | dt: 1155.50ms | tok/sec: 453,732 | bf16_mfu: 10.07%
step 00003 (1.58%) | loss: 10.594830 | dt: 1086.59ms | tok/sec: 482,506 | bf16_mfu: 10.71%
step 00004 (2.11%) | loss: 10.293713 | dt: 675.29ms | tok/sec: 776,385 | bf16_mfu: 17.23% | eta: 2.1m
step 00005 (2.63%) | loss: 9.977421 | dt: 1168.41ms | tok/sec: 448,717 | bf16_mfu: 9.96% | eta: 2.8m
step 00006 (3.16%) | loss: 9.644820 | dt: 1089.38ms | tok/sec: 481,273 | bf16_mfu: 10.68% | eta: 3.0m
step 00007 (3.68%) | loss: 9.326294 | dt: 1082.83ms | tok/sec: 484,184 | bf16_mfu: 10.75% | eta: 3.1m
step 00008 (4.21%) | loss: 9.038488 | dt: 790.02ms | tok/sec: 663,640 | bf16_mfu: 14.73% | eta: 2.9m
step 00009 (4.74%) | loss: 8.762971 | dt: 1144.44ms | tok/sec: 458,118 | bf16_mfu: 10.17% | eta: 3.0m
step 00010 (5.26%) | loss: 8.517320 | dt: 768.05ms | tok/sec: 682,621 | bf16_mfu: 15.15% | eta: 2.9m
step 00011 (5.79%) | loss: 8.295408 | dt: 1042.21ms | tok/sec: 503,054 | bf16_mfu: 11.17% | eta: 2.9m
step 00012 (6.32%) | loss: 8.109769 | dt: 900.78ms | tok/sec: 582,037 | bf16_mfu: 12.92% | eta: 2.9m
step 00013 (6.84%) | loss: 7.923960 | dt: 821.80ms | tok/sec: 637,975 | bf16_mfu: 14.16% | eta: 2.8m
step 00014 (7.37%) | loss: 7.751746 | dt: 846.41ms | tok/sec: 619,427 | bf16_mfu: 13.75% | eta: 2.8m
step 00015 (7.89%) | loss: 7.614388 | dt: 904.50ms | tok/sec: 579,644 | bf16_mfu: 12.87% | eta: 2.7m
step 00016 (8.42%) | loss: 7.487280 | dt: 679.38ms | tok/sec: 771,719 | bf16_mfu: 17.13% | eta: 2.7m
step 00017 (8.95%) | loss: 7.357931 | dt: 810.43ms | tok/sec: 646,926 | bf16_mfu: 14.36% | eta: 2.6m
step 00018 (9.47%) | loss: 7.243691 | dt: 772.16ms | tok/sec: 678,985 | bf16_mfu: 15.07% | eta: 2.6m
step 00019 (10.00%) | loss: 7.150280 | dt: 781.94ms | tok/sec: 670,495 | bf16_mfu: 14.88% | eta: 2.5m
step 00020 (10.53%) | loss: 7.069629 | dt: 672.86ms | tok/sec: 779,195 | bf16_mfu: 17.30% | eta: 2.5m
step 00021 (11.05%) | loss: 6.991052 | dt: 695.66ms | tok/sec: 753,651 | bf16_mfu: 16.73% | eta: 2.4m
step 00022 (11.58%) | loss: 6.931233 | dt: 686.91ms | tok/sec: 763,254 | bf16_mfu: 16.94% | eta: 2.4m
step 00023 (12.11%) | loss: 6.869249 | dt: 737.00ms | tok/sec: 711,383 | bf16_mfu: 15.79% | eta: 2.4m
step 00024 (12.63%) | loss: 6.805290 | dt: 678.16ms | tok/sec: 773,103 | bf16_mfu: 17.16% | eta: 2.3m
step 00025 (13.16%) | loss: 6.761312 | dt: 693.08ms | tok/sec: 756,456 | bf16_mfu: 16.79% | eta: 2.3m
step 00026 (13.68%) | loss: 6.695919 | dt: 737.37ms | tok/sec: 711,029 | bf16_mfu: 15.78% | eta: 2.3m
step 00027 (14.21%) | loss: 6.641197 | dt: 678.89ms | tok/sec: 772,271 | bf16_mfu: 17.14% | eta: 2.2m
step 00028 (14.74%) | loss: 6.603233 | dt: 695.15ms | tok/sec: 754,206 | bf16_mfu: 16.74% | eta: 2.2m
step 00029 (15.26%) | loss: 6.580011 | dt: 691.09ms | tok/sec: 758,639 | bf16_mfu: 16.84% | eta: 2.2m
step 00030 (15.79%) | loss: 6.540690 | dt: 687.27ms | tok/sec: 762,852 | bf16_mfu: 16.93% | eta: 2.2m
step 00031 (16.32%) | loss: 6.505154 | dt: 748.48ms | tok/sec: 700,469 | bf16_mfu: 15.55% | eta: 2.1m
step 00032 (16.84%) | loss: 6.464740 | dt: 729.18ms | tok/sec: 719,007 | bf16_mfu: 15.96% | eta: 2.1m
step 00033 (17.37%) | loss: 6.442005 | dt: 683.91ms | tok/sec: 766,598 | bf16_mfu: 17.02% | eta: 2.1m
step 00034 (17.89%) | loss: 6.411626 | dt: 696.29ms | tok/sec: 752,978 | bf16_mfu: 16.71% | eta: 2.1m
step 00035 (18.42%) | loss: 6.381785 | dt: 734.14ms | tok/sec: 714,149 | bf16_mfu: 15.85% | eta: 2.1m
step 00036 (18.95%) | loss: 6.336921 | dt: 679.36ms | tok/sec: 771,739 | bf16_mfu: 17.13% | eta: 2.0m
step 00037 (19.47%) | loss: 6.291027 | dt: 701.82ms | tok/sec: 747,038 | bf16_mfu: 16.58% | eta: 2.0m
step 00038 (20.00%) | loss: 6.252628 | dt: 690.96ms | tok/sec: 758,780 | bf16_mfu: 16.84% | eta: 2.0m
step 00039 (20.53%) | loss: 6.223151 | dt: 683.93ms | tok/sec: 766,581 | bf16_mfu: 17.02% | eta: 2.0m
step 00040 (21.05%) | loss: 6.195475 | dt: 696.08ms | tok/sec: 753,201 | bf16_mfu: 16.72% | eta: 2.0m
step 00041 (21.58%) | loss: 6.165947 | dt: 691.13ms | tok/sec: 758,595 | bf16_mfu: 16.84% | eta: 1.9m
step 00042 (22.11%) | loss: 6.142829 | dt: 687.81ms | tok/sec: 762,251 | bf16_mfu: 16.92% | eta: 1.9m
step 00043 (22.63%) | loss: 6.119263 | dt: 692.54ms | tok/sec: 757,049 | bf16_mfu: 16.80% | eta: 1.9m
step 00044 (23.16%) | loss: 6.088948 | dt: 694.42ms | tok/sec: 755,001 | bf16_mfu: 16.76% | eta: 1.9m
step 00045 (23.68%) | loss: 6.057910 | dt: 688.97ms | tok/sec: 760,977 | bf16_mfu: 16.89% | eta: 1.9m
step 00046 (24.21%) | loss: 6.036266 | dt: 692.03ms | tok/sec: 757,604 | bf16_mfu: 16.82% | eta: 1.8m
step 00047 (24.74%) | loss: 6.021249 | dt: 694.57ms | tok/sec: 754,838 | bf16_mfu: 16.76% | eta: 1.8m
step 00048 (25.26%) | loss: 6.004853 | dt: 685.53ms | tok/sec: 764,792 | bf16_mfu: 16.98% | eta: 1.8m
step 00049 (25.79%) | loss: 5.992985 | dt: 694.58ms | tok/sec: 754,822 | bf16_mfu: 16.76% | eta: 1.8m
step 00050 (26.32%) | loss: 5.972433 | dt: 691.83ms | tok/sec: 757,826 | bf16_mfu: 16.82% | eta: 1.8m
step 00051 (26.84%) | loss: 5.953281 | dt: 691.15ms | tok/sec: 758,573 | bf16_mfu: 16.84% | eta: 1.8m
step 00052 (27.37%) | loss: 5.934445 | dt: 692.80ms | tok/sec: 756,766 | bf16_mfu: 16.80% | eta: 1.7m
step 00053 (27.89%) | loss: 5.928942 | dt: 689.42ms | tok/sec: 760,476 | bf16_mfu: 16.88% | eta: 1.7m
step 00054 (28.42%) | loss: 5.919580 | dt: 695.27ms | tok/sec: 754,080 | bf16_mfu: 16.74% | eta: 1.7m
step 00055 (28.95%) | loss: 5.908496 | dt: 688.13ms | tok/sec: 761,903 | bf16_mfu: 16.91% | eta: 1.7m
step 00056 (29.47%) | loss: 5.905627 | dt: 694.03ms | tok/sec: 755,426 | bf16_mfu: 16.77% | eta: 1.7m
step 00057 (30.00%) | loss: 5.878382 | dt: 692.07ms | tok/sec: 757,566 | bf16_mfu: 16.82% | eta: 1.7m
step 00058 (30.53%) | loss: 5.857650 | dt: 689.71ms | tok/sec: 760,160 | bf16_mfu: 16.87% | eta: 1.7m
step 00059 (31.05%) | loss: 5.835008 | dt: 690.72ms | tok/sec: 759,048 | bf16_mfu: 16.85% | eta: 1.6m
step 00060 (31.58%) | loss: 5.809009 | dt: 697.08ms | tok/sec: 752,119 | bf16_mfu: 16.70% | eta: 1.6m
step 00061 (32.11%) | loss: 5.779679 | dt: 692.43ms | tok/sec: 757,170 | bf16_mfu: 16.81% | eta: 1.6m
step 00062 (32.63%) | loss: 5.753967 | dt: 690.38ms | tok/sec: 759,423 | bf16_mfu: 16.86% | eta: 1.6m
step 00063 (33.16%) | loss: 5.729558 | dt: 693.37ms | tok/sec: 756,145 | bf16_mfu: 16.78% | eta: 1.6m
step 00064 (33.68%) | loss: 5.717567 | dt: 689.21ms | tok/sec: 760,713 | bf16_mfu: 16.89% | eta: 1.6m
step 00065 (34.21%) | loss: 5.691791 | dt: 692.89ms | tok/sec: 756,663 | bf16_mfu: 16.80% | eta: 1.6m
step 00066 (34.74%) | loss: 5.673469 | dt: 690.56ms | tok/sec: 759,220 | bf16_mfu: 16.85% | eta: 1.5m
step 00067 (35.26%) | loss: 5.656490 | dt: 691.20ms | tok/sec: 758,520 | bf16_mfu: 16.84% | eta: 1.5m
step 00068 (35.79%) | loss: 5.644182 | dt: 693.47ms | tok/sec: 756,036 | bf16_mfu: 16.78% | eta: 1.5m
