W0417 09:17:18.705000 329984 torch/distributed/run.py:852] 
W0417 09:17:18.705000 329984 torch/distributed/run.py:852] *****************************************
W0417 09:17:18.705000 329984 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0417 09:17:18.705000 329984 torch/distributed/run.py:852] *****************************************
Using Flash Attention 3 (Hopper GPU detected)
wandb: Tracking run with wandb version 0.25.1
wandb: W&B syncing is set to `offline` in this directory. Run `wandb online` or set WANDB_MODE=online to enable cloud syncing.
wandb: Run data is saved locally in /mnt/vast/joey/slowrun/wandb/offline-run-20260417_091750-hexa13nk
--- Hyperparameters ---
  n_layer=16, n_embd=1024, n_head=8, head_dim=128
  seq_len=2048, window_pattern=SSSL
  total_batch_size=524288, device_batch_size=32
  optimizer=muon
  matrix_lr=0.032, scalar_lr=0.2, embedding_lr=0.12, unembedding_lr=0.0008
  weight_decay=0.8, adam_betas=(0.8, 0.95)
  warmup_ratio=0.0, warmdown_ratio=0.6, final_lr_frac=0.0
  num_epochs=16, patience=-1
  dropout=0.1
-----------------------
Vocab size: 50,257
Padding vocab_size from 50257 to 50304
Parameters: 316,935,720 (transformer: 205,524,480, value_embeds: 8,388,608, lm_head: 51,511,296, other: 51,511,336)
FLOPs per token: 1.756259e+09
Batch size: 524,288 tokens, grad accum: 1 steps
Training for 16 epoch(s) (~3040 steps estimated)
Eval set: 10,000,000 tokens
Step 00000 | Val BPB: 3.517133 | Val Loss: 10.826475
step 00001 (0.03%) | loss: 10.826533 | dt: 14829.93ms | tok/sec: 35,353 | bf16_mfu: 0.78%
step 00002 (0.07%) | loss: 10.747878 | dt: 579.53ms | tok/sec: 904,677 | bf16_mfu: 20.08%
step 00003 (0.10%) | loss: 10.606689 | dt: 269.14ms | tok/sec: 1,947,998 | bf16_mfu: 43.24%
step 00004 (0.13%) | loss: 10.316289 | dt: 271.74ms | tok/sec: 1,929,392 | bf16_mfu: 42.83% | eta: 13.7m
step 00005 (0.16%) | loss: 9.997261 | dt: 286.56ms | tok/sec: 1,829,581 | bf16_mfu: 40.61% | eta: 14.1m
step 00006 (0.20%) | loss: 9.694653 | dt: 286.43ms | tok/sec: 1,830,409 | bf16_mfu: 40.63% | eta: 14.2m
step 00007 (0.23%) | loss: 9.365985 | dt: 272.18ms | tok/sec: 1,926,252 | bf16_mfu: 42.76% | eta: 14.1m
step 00008 (0.26%) | loss: 9.074468 | dt: 275.02ms | tok/sec: 1,906,352 | bf16_mfu: 42.32% | eta: 14.1m
step 00009 (0.30%) | loss: 8.792419 | dt: 287.32ms | tok/sec: 1,824,764 | bf16_mfu: 40.51% | eta: 14.1m
step 00010 (0.33%) | loss: 8.545244 | dt: 278.36ms | tok/sec: 1,883,459 | bf16_mfu: 41.81% | eta: 14.1m
step 00011 (0.36%) | loss: 8.321433 | dt: 276.03ms | tok/sec: 1,899,361 | bf16_mfu: 42.16% | eta: 14.1m
step 00012 (0.39%) | loss: 8.107088 | dt: 278.71ms | tok/sec: 1,881,145 | bf16_mfu: 41.76% | eta: 14.1m
step 00013 (0.43%) | loss: 7.918079 | dt: 282.61ms | tok/sec: 1,855,186 | bf16_mfu: 41.18% | eta: 14.1m
step 00014 (0.46%) | loss: 7.746392 | dt: 277.31ms | tok/sec: 1,890,592 | bf16_mfu: 41.97% | eta: 14.1m
step 00015 (0.49%) | loss: 7.603852 | dt: 277.08ms | tok/sec: 1,892,191 | bf16_mfu: 42.00% | eta: 14.1m
step 00016 (0.53%) | loss: 7.478144 | dt: 281.96ms | tok/sec: 1,859,433 | bf16_mfu: 41.27% | eta: 14.1m
